Prof_Bacon;Age_Bacon;UncerAge_Bacon;Prof_Clam;UnceraAge_Clam;UncerbAge_Clam;Age_Bclam
798,4;43308,84518;1434,44323;798,4189727;37315;39851,1;38307,1
801,6;43463,46304;1440,931972;801,5810272;37428,7;39980,5;38438,3
804,7;43617,1585;1447,18819;804,7430815;37547,7;40109;38570,4
807,9;43775,30679;1457,164025;807,9051358;37667,6;40231,7;38703,5
811,5;43953,35097;1472,296942;811,4624469;37803,8;40387,2;38854,2
815;44129,56058;1478,531052;815,019758;37937,2;40542,7;39006
818,6;44309,48184;1485,027206;818,5770799;38073,1;40697;39158,7
821,7;44462,90454;1493,964995;821,7391342;38192,2;40839,1;39295,2
825,3;44636,80716;1503,035573;825,2964453;38330;40985,3;39449,5
828,1;44775,82393;1508,332577;828,0632428;38440,5;41104,7;39570,1
831,6;44951,11595;1519,208724;831,6205539;38581,5;41253,1;39725,7
834,8;45111,18284;1525,634281;834,7826082;38707,7;41390,5;39864,6
838,3;45290,29882;1537,613436;838,3399193;38843,9;41548;40021,4
841,9;45476,70198;1560,457296;841,8972304;38974,2;41707,3;40178,7
844,7;45621,68222;1588,369096;844,6640279;39083,1;41828,2;40301,3
847,8;45782,19605;1629,032008;847,8260823;39208,6;41968;40441,7
851,8;45989,31067;1695,467368;851,7786501;39362,7;42145,7;40617,5
854,9;46149,8245;1756,735718;854,9407044;39484,9;42287;40758,4
858,1;46315,51619;1827,950843;858,1027696;39610,7;42429,1;40899,5
861,3;46481,20789;1906,364309;861,2648239;39737;42579,6;41040,6
864,8;46662,43318;1999,369312;864,822135;39879;42739;41199,4
868,4;46848,83634;2101,893579;868,3794461;40013,7;42908,5;41358,1
871,1;46988,63871;2182,771762;871,1462436;40122,8;43034,8;41481,6
874,7;47175,04187;2295,23625;874,7035547;40259,9;43194,3;41640,1
877,9;47340,73356;2399,093918;877,865609;40382,1;43331,4;41780,9
881,4;47521,95885;2516,32294;881,4229201;40525,1;43482,8;41939
885;47708,36201;2640,345035;884,9802312;40661,8;43638,5;42096,7
887,7;47848,16438;2735,370942;887,7470287;40767,4;43770,2;42219,2
891,7;48055,279;2878,916992;891,6995966;40919;43961,9;42393,9
894,9;48220,9707;2995,850282;894,8616509;41042,7;44112,3;42533,4
898,4;48402,19599;3125,613081;898,418962;41184,2;44272,8;42690,1
901,6;48567,88769;3245,767313;901,6064253;41311;44419,3;42830,2
904,8;48733,57938;3367,20811;904,819276;41433,6;44570,9;42971,2
908,4;48919,98254;3505,200303;908,4337331;41570,7;44743,9;43129,7
912;49106,3857;3644,485595;912,0481901;41716,4;44914;43287,8
915,3;49277,25526;3773,177451;915,2610408;41840,5;45061,3;43428,2
918,9;49463,65842;3914,558719;918,8754979;41983,8;45228,3;43585,9
922,1;49629,35011;4041,013204;922,0883486;42111,4;45376,6;43725,9
925,3;49795,04181;4168,134134;925,3011993;42241,2;45529,6;43865,7
928,9;49981,44497;4311,868387;928,9156563;42381,4;45696,9;44022,8
932,5;50167,84813;4456,297026;932,5301133;42526,5;45863,1;44179,7
935,3;50312,82836;4569,068341;935,3413577;42637,1;45988,5;44301,6
939;50504,40938;4718,624643;938,9558147;42775,7;46151,9;44458,1
942,2;50670,10108;4848,423829;942,1686764;42900,8;46306,1;44597
946,2;50877,2157;5011,211777;946,1847398;43062,5;46492,5;44770,4
949,4;51042,9074;5141,837817;949,3975905;43191,9;46636,4;44908,9
952,6;51208,59909;5272,787259;952,6104412;43318,2;46787,8;45047,2
955,8;51374,29079;5404,036596;955,8232919;43446,7;46936,6;45185,4
959,4;51560,69395;5552,024082;959,4377489;43585,8;47102,5;45340,7
963,1;51752,27497;5704,460906;963,052173;43730;47265,5;45495,7
966,7;51938,67813;5853,081967;966,666663;43872,6;47427,6;45650,6
969,5;52083,65836;5968,869035;969,4778964;43985,5;47553,3;45770,9
973,1;52270,06152;6117,969385;973,0923864;44122,6;47717,9;45925,3
976,3;52435,75322;6250,70755;976,3051931;44254,5;47871,9;46062,5
979,9;52622,15637;6400,252563;979,9196831;44397;48039,4;46216,5
983,1;52787,84807;6533,360071;983,1324898;44526,1;48190,8;46353,3
986,3;52953,53977;6666,625193;986,3454065;44652;48341,5;46489,9
990;53145,12079;6820,897351;989,9597866;44793,3;48510,2;46643,5
993,6;53331,52395;6971,177851;993,5742766;44935;48669,8;46796,8
996,8;53497,21564;7104,898701;996,7871933;45065,4;48815,7;46932,9
1000;53662,90734;7238,742097;1000;45195,1;48964,2;47068,8
1003,6;53849,3105;7389,45411;1003,557344;45334,2;49127,7;47219,2
1006,7;54009,82433;7519,344683;1006,719356;45457,1;49271,5;47352,6
1010,3;54196,22749;7670,306764;1010,2767;45591,3;49433,3;47502,6
1013,8;54377,45278;7817,193699;1013,834045;45733,4;49594;47652,4
1016,6;54522,43301;7934,78279;1016,600832;45844;49723,1;47768,8
1020,2;54708,83617;8086,067314;1020,158068;45980,5;49882,5;47918,2
1023,3;54869,35;8216,424622;1023,320188;46103,5;50024,2;48050,9
1026,9;55055,75316;8367,900379;1026,877424;46245,3;50182;48200
1029,6;55195,55553;8481,569776;1029,64432;46355,5;50307,7;48315,8
1033,6;55402,67015;8650,062535;1033,596888;46515,5;50484,3;48481,1
1036,8;55568,36185;8784,933433;1036,7589;46644,6;50623,2;48613,2
1040,3;55749,58714;8932,522594;1040,316244;46789,1;50777,6;48761,6
1043,1;55894,56737;9050,647207;1043,083032;46896,7;50899,4;48876,9
1046,6;56075,79267;9198,366586;1046,640376;47035,2;51053,1;49025
1049,8;56241,48436;9333,4835;1049,802388;47166,1;51196,5;49156,5
1053,4;56427,88752;9485,554518;1053,359732;47307,7;51354,3;49304,2
1056,5;56588,40135;9616,556897;1056,521744;47429,4;51495,3;49435,4
1060,1;56774,80451;9768,746763;1060,079088;47569,4;51651,5;49582,8
1063,2;56935,31834;9899,84706;1063,2411;47691,1;51790,6;49713,7
1066,8;57121,7215;10052,1458;1066,798444;47835,8;51948,4;49860,8
1070;57287,41319;10187,5685;1069,960456;47964,1;52085,4;49991,4
1073,9;57489,34995;10352,67094;1073,913025;48119,1;52257,1;50154,4
1076,7;57634,33018;10471,24248;1076,679812;48228;52376,8;50268,5
1080,2;57815,55547;10619,49798;1080,237156;48370,5;52532,6;50414,9
1083,4;57981,24717;10755,08434;1083,399168;48496,7;52669,9;50544,9
1087;58167,65033;10907,66114;1086,956512;48638,6;52824,6;50691
1089,7;58307,4527;11022,12196;1089,7233;48747;52942,4;50804,6
1093,3;58493,85585;11174,77261;1093,280644;48888,7;53095,6;50950,4
1096,8;58675,08115;11323,22119;1096,837988;49033,7;53248;51096,1
1100,4;58861,48431;11475,94892;1100,395224;49176,2;53405,4;51241,5
1103,6;59027,176;11611,73784;1103,557344;49300,9;53540,4;51370,7
1107,5;59229,11276;11777,26843;1107,509913;49457,9;53710,2;51532
1109,9;59353,38153;11879,15338;1109,881476;49551,5;53811,4;51628,7
1113,8;59555,31828;12044,74771;1113,834045;49705,6;53978,9;51789,7
1116,6;59700,29852;12163,65907;1116,600832;49815,1;54097,6;51902,3
1120,6;59907,41314;12333,56473;1120,553401;49973,3;54258,8;52063
1123,3;60047,21551;12448,27183;1123,320188;50082,2;54369,2;52175,3
1126,9;60233,61866;12601,23979;1126,877532;50225,6;54513,3;52319,6
1130,4;60414,84396;12749,98529;1130,434768;50366,6;54661,5;52463,8
1133,6;60580,53565;12886,00339;1133,596888;50491,2;54795,2;52591,8
1136,8;60746,22735;13022,04203;1136,7589;50619,4;54924,4;52719,7
1139,9;60906,74118;13153,84844;1139,92102;50742,5;55054,3;52847,4
1143,9;61113,8558;13323,94793;1143,873589;50897;55213,5;53007
1147;61274,36963;13455,79505;1147,0356;51025,3;55338;53134,5
1150,6;61460,77279;13608,92905;1150,592945;51166,7;55486,9;53277,8
1153,8;61626,46448;13745,06671;1153,754957;51296,5;55618;53405
1156,9;61786,97831;13876,9662;1156,916968;51423,8;55744,5;53532,1
1160,5;61973,38147;14030,15915;1160,474313;51565,7;55895,8;53675
1164;62154,60677;14179,11604;1164,031657;51709,4;56045,2;53817,8
1167,6;62341,00992;14332,34808;1167,589001;51851,5;56190,5;53960,4
1170;62465,2787;14434,51331;1169,960456;51945;56292,1;54055,3
1173,9;62667,21545;14600,54925;1173,913025;52106,6;56448,6;54213,5
1176,7;62812,19568;14719,76751;1176,67992;52218,8;56564,1;54324,1
1180,2;62993,42098;14868,80515;1180,237156;52359;56709;54466,2
1183,4;63159,11267;15005,08213;1183,399276;52485,7;56834,7;54592,4
1187;63345,51583;15158,40927;1186,956512;52625,1;56980,3;54734,2
1190,1;63506,02966;15290,45378;1190,118632;52751,3;57107,3;54860,2
1193,7;63692,43282;15443,81026;1193,675868;52895,3;57245,8;55001,8
