;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
Kunes_a79;0,013671875;0,003859141;0,010570147;0,150083913;0;0,000478545;0;0;0;0,002102246;0;0,000477593;0,022112842;0;0,000636537;0;5,61545E-05
Kunes_a80;0,006339144;0;0,146895507;0,050828313;0;0,001997005;0;0;0;0,013868178;0;0,000372393;0,011109839;0;0;0;0
Kunes_a81;0,003567182;0;0,080491552;0,012326311;0;0,002472368;0;0;0;0,021701982;7,74533E-05;0,000212495;0,016052202;0;0;0;0
Kunes_a82;0,001869159;0;0,047595439;0,021754895;0;0,005424528;0;0;0;0,022071072;0,000251731;0,000230256;0,020048796;0;0,000275002;0;0
Kunes_a83;0,001253133;0,001198322;0,075196851;0,056874817;0;0,004075296;0;0;0;0,023850874;0,000210349;0,000385394;0,014666667;0;0,000923645;0;0
Kunes_a84;0,010494753;0,006666667;0,053123463;0,141752577;0;0,000979912;0;0;0;0,003668917;0;0;0,014216405;0;0,000293284;0;0
Kunes_a85;0,020689655;0,005982906;0,013636364;0,066382979;0;0,000566572;0;0;0;0,000679117;0;0,009476662;0,040208877;0;0;0;0
Kunes_a86;0,006184932;0,005045155;0,012691629;0,031452039;0;0,000995008;0;0,000248321;0;0,00059535;0;0,000165261;0,058867938;0,000148632;0;0;0
Kunes_a87;0;0,00084317;0,022340426;0,016705517;0;0,001514387;0;0;0;0,014099139;0,000134553;0,000369185;0,034126984;0;0;0;0
Kunes_a88;0,008032128;0,011952191;0,008830022;0,145833333;0;0,001100837;0;0;0;0,001715492;0;0,001539138;0,022729579;0;0,000527565;0;0
Kunes_a89;0,001424501;0;0,043478261;0,091860858;0;0,002686367;0;0;0;0,005749432;0,000121477;0,002114636;0,023824194;0;0,002312344;0;0
Kunes_a90;0;0;0,026579739;0,018565708;0;0,001645897;0;0;0;0,005092911;0;0,00057006;0,034964301;0;0,000181324;0;0
Kunes_a91;0,073253833;0,004201681;0,011712214;0,099749583;0;0,000555247;0;0;0;0,003159295;0;0,000415512;0,031062252;0;0,001329051;0;0
Kunes_a92;0,004716981;0,00209937;0,01890189;0,045107794;0;0,002608129;0;0;0;0,018782967;0;0,001602735;0,027482269;0;0;0;0
Kunes_a93;0,004301075;0;0,059814937;0,04197349;0;0,002106969;0;0;0;0,016888632;0;0,001926473;0,026728861;0;6,40943E-05;0;0
Kunes_a94;0,005042017;0;0,027681661;0,030325174;0;0,003601441;0;0;0;0,035465033;0;0,001657001;0,018771145;0;0,000283259;0;0
