"","Longitude","Latitude","SampleName"
"597",-3.866667,43.083333,"Barboni_a488"
"598",-3.441026,43.150906,"Barboni_a489"
"599",-3.441026,43.150906,"Barboni_a490"
"600",-3.016667,42.033333,"Barboni_a491"
"601",2.029444,42.675,"Barboni_a492"
"602",7.473333333,44.13,"Barboni_a493"
"603",-0.219401,41.043063,"Barboni_a494"
"604",-0.20464,41.043861,"Barboni_a495"
"605",-0.219401,41.043063,"Barboni_a496"
"606",-0.261667,41.401111,"Barboni_a497"
"607",2.7,45.41,"Barboni_a498"
"608",-0.256528,41.408333,"Barboni_a499"
"609",-0.284861,41.404583,"Barboni_a500"
"610",-0.304614,41.37816,"Barboni_a501"
"611",-3.966667,42.616667,"Barboni_a502"
"612",-7.02,43.22,"Barboni_a503"
"613",12.37,63.17,"Barboni_a504"
"614",12.36,63.17,"Barboni_a505"
"615",12.36,63.17,"Barboni_a506"
"616",12.36,63.17,"Barboni_a507"
"617",12.36,63.18,"Barboni_a508"
"618",2.7,45.41,"Barboni_a509"
"619",12.35,63.18,"Barboni_a510"
"620",12.37,63.17,"Barboni_a511"
"621",12.37,63.17,"Barboni_a512"
"622",12.37,63.17,"Barboni_a513"
"623",12.37,63.17,"Barboni_a514"
"624",12.37,63.17,"Barboni_a515"
"625",12.36,63.17,"Barboni_a516"
"626",12.36,63.17,"Barboni_a517"
"627",12.36,63.17,"Barboni_a518"
"628",12.37,63.15,"Barboni_a519"
"629",2.7,45.41,"Barboni_a520"
"630",12.38,63.15,"Barboni_a521"
"631",12.4,63.15,"Barboni_a522"
"632",12.4,63.15,"Barboni_a523"
"633",12.4,63.15,"Barboni_a524"
"634",12.4,63.15,"Barboni_a525"
"635",12.4,63.17,"Barboni_a526"
"636",12.4,63.17,"Barboni_a527"
"637",12.4,63.17,"Barboni_a528"
"638",12.4,63.17,"Barboni_a529"
"639",12.4,63.17,"Barboni_a530"
"640",2.7,45.41,"Barboni_a531"
"641",12.37,63.15,"Barboni_a532"
"642",12.42,63.17,"Barboni_a533"
"643",12.42,63.17,"Barboni_a534"
"644",12.37,63.15,"Barboni_a535"
"645",12.38,63.15,"Barboni_a536"
"646",12.38,63.15,"Barboni_a537"
"647",12.38,63.15,"Barboni_a538"
"648",12.38,63.15,"Barboni_a539"
"649",12.38,63.15,"Barboni_a540"
"650",12.35,63.18,"Barboni_a541"
"651",2.7,45.41,"Barboni_a542"
"652",12.35,63.18,"Barboni_a543"
"653",-3.58527,57.041458,"Barboni_a544"
"654",-3.34412,57.115363,"Barboni_a545"
"655",-3.408444,57.11588,"Barboni_a546"
"656",-8.733333,41.833333,"Barboni_a547"
"657",-8.733333,41.833333,"Barboni_a548"
"658",-5,33.05,"Barboni_a549"
"659",-4.991067,43.272313,"Barboni_a550"
"660",-7.5545,43.251,"Barboni_a551"
"661",-1.770126,38.720734,"Barboni_a552"
"662",2.7,45.41,"Barboni_a553"
"663",-9.002989,39.677278,"Barboni_a554"
"664",-1.499444,40.967917,"Barboni_a555"
"665",-4.4833,42.56101,"Barboni_a556"
"666",-9.046396,43.186313,"Barboni_a557"
"667",-6.238624,40.681601,"Barboni_a558"
"668",-2.5,38.3833,"Barboni_a559"
"669",-6.7545,42.454,"Barboni_a560"
"670",-7.478333,43.159028,"Barboni_a561"
"671",-6.1353,42.01101,"Barboni_a562"
"672",-2.840637,39.421603,"Barboni_a563"
"673",2.7,45.41,"Barboni_a564"
"674",-3.2833,39.4166,"Barboni_a565"
"675",-2.8666,39.4166,"Barboni_a566"
"676",-1.9166,40.05,"Barboni_a567"
"677",-4.81101,37.348,"Barboni_a568"
"678",-4.302474,37.10874,"Barboni_a569"
"679",-1.608444,40.726724,"Barboni_a570"
"680",-0.1666,41.333,"Barboni_a571"
"681",-1.419874,38.789149,"Barboni_a572"
"682",-0.178735,41.797139,"Barboni_a573"
"683",-7.554778,43.241102,"Barboni_a574"
"684",2.68,45.43,"Barboni_a575"
"685",-2.847182,41.99892,"Barboni_a576"
"686",-2.847182,41.99892,"Barboni_a577"
"687",-2.554722,41.185833,"Barboni_a578"
"688",-4.151667,42.980278,"Barboni_a579"
"689",-3.342179,37.051733,"Barboni_a580"
"690",-3.3671,37.05,"Barboni_a581"
"691",-2.819264,37.953667,"Barboni_a582"
"692",-2.860114,41.994588,"Barboni_a583"
"693",-2.5166,38.5,"Barboni_a584"
"694",-3.301266,39.69233,"Barboni_a585"
"695",2.68,45.43,"Barboni_a586"
"696",-8.744167,43.125,"Barboni_a587"
"697",-6.793611,42.135556,"Barboni_a588"
"698",-3.336973,39.45088,"Barboni_a589"
"699",-6.8868,43.3335,"Barboni_a590"
"700",-3.33248,39.464019,"Barboni_a591"
"701",-0.189987,41.061043,"Barboni_a592"
"702",-0.182279,41.239561,"Barboni_a593"
"703",-0.141378,41.236204,"Barboni_a594"
"704",-0.219401,41.043063,"Barboni_a595"
"705",-6.691806,42.109861,"Barboni_a596"
"706",24.3333,41.983,"Barboni_a597"
"707",2.68,45.43,"Barboni_a598"
"708",-8.991389,39.693194,"Barboni_a599"
"709",-3.329306,37.054583,"Barboni_a600"
"710",-8.2333,37.9833,"Barboni_a601"
"711",-6.7848,42.1343,"Barboni_a602"
"712",-6.852778,42.863889,"Barboni_a603"
"713",34.38,39.2,"Barboni_a604"
"714",34.93,38.63,"Barboni_a605"
"715",35.029,38.59,"Barboni_a606"
"716",35.79,39.029,"Barboni_a607"
"717",35.83,39.069,"Barboni_a608"
"718",2.66,45.38,"Barboni_a609"
"719",35.38,38.279,"Barboni_a610"
"720",36.47,39.4,"Barboni_a611"
"721",37.61,39.88,"Barboni_a612"
"722",36.529,39.95,"Barboni_a613"
"723",36.529,39.95,"Barboni_a614"
"724",36.5,40.02,"Barboni_a615"
"725",36.15,40.27,"Barboni_a616"
"726",36.09,40.419,"Barboni_a617"
"727",36.15,40.479,"Barboni_a618"
"728",36.159,40.529,"Barboni_a619"
"729",2.66,45.38,"Barboni_a620"
"730",36.02,40.9,"Barboni_a621"
"731",35.72,40.979,"Barboni_a622"
"732",36.13,41.169,"Barboni_a623"
"733",36.209,41.38,"Barboni_a624"
"734",35.25,41.729,"Barboni_a625"
"735",35.18,41.819,"Barboni_a626"
"736",35.029,41.81,"Barboni_a627"
"737",34.849,41.63,"Barboni_a628"
"738",34.279,41.569,"Barboni_a629"
"739",33.319,41.369,"Barboni_a630"
"740",2.66,45.38,"Barboni_a631"
"741",33.669,41.25,"Barboni_a632"
"742",33.22,41.15,"Barboni_a633"
"743",32.869,41.2,"Barboni_a634"
"744",32.72,41.229,"Barboni_a635"
"745",32.63,41.18,"Barboni_a636"
