depth	min	max	median	mean
705	19656	20541	20083	20092
706	19663	20546	20086	20096
707	19666	20548	20091	20100
708	19671	20553	20094	20104
709	19672	20555	20099	20108
710	19677	20560	20103	20111
711	19684	20566	20107	20115
712	19688	20568	20111	20119
713	19689	20572	20114	20123
714	19694	20575	20118	20127
715	19696	20579	20122	20131
716	19699	20582	20127	20135
717	19700	20585	20131	20139
718	19704	20592	20135	20143
719	19710	20596	20140	20147
720	19712	20599	20145	20151
721	19717	20606	20149	20155
722	19721	20609	20153	20159
723	19724	20612	20158	20163
724	19730	20615	20161	20167
725	19736	20621	20163	20170
726	19739	20625	20167	20174
727	19745	20632	20171	20178
728	19751	20633	20175	20182
729	19753	20639	20179	20186
730	19756	20641	20182	20190
731	19761	20648	20187	20194
732	19765	20653	20190	20198
733	19767	20655	20194	20202
734	19771	20659	20198	20205
735	19775	20663	20201	20209
736	19779	20667	20204	20213
737	19783	20673	20208	20217
738	19784	20679	20212	20221
739	19784	20684	20217	20225
740	19789	20690	20221	20229
741	19790	20696	20224	20233
742	19796	20698	20228	20236
743	19800	20700	20231	20240
744	19804	20701	20236	20244
745	19807	20702	20240	20247
746	19810	20705	20244	20251
747	19814	20710	20248	20255
748	19817	20713	20253	20259
749	19818	20717	20256	20262
750	19822	20719	20260	20266
751	19826	20722	20263	20270
752	19830	20729	20267	20274
753	19832	20731	20272	20277
754	19835	20735	20275	20281
755	19838	20739	20279	20285
756	19840	20746	20284	20288
757	19842	20752	20289	20292
758	19844	20754	20294	20296
759	19847	20757	20297	20300
760	19850	20761	20300	20303
761	19859	20765	20304	20307
762	19862	20770	20308	20311
763	19864	20773	20312	20315
764	19875	20777	20316	20319
765	19879	20780	20319	20323
766	19882	20786	20323	20327
767	19886	20789	20327	20331
768	19889	20792	20331	20334
769	19890	20798	20335	20338
770	19893	20801	20338	20342
771	19896	20806	20343	20346
772	19898	20812	20346	20350
773	19900	20816	20351	20354
774	19905	20820	20355	20358
775	19910	20825	20359	20362
776	19914	20830	20363	20366
777	19917	20834	20367	20369
778	19920	20841	20371	20373
779	19923	20847	20375	20377
780	19925	20851	20379	20381
781	19929	20855	20383	20385
782	19933	20858	20387	20389
783	19940	20862	20391	20393
784	19945	20863	20396	20397
785	19947	20864	20399	20401
786	19953	20868	20404	20405
787	19957	20871	20407	20409
788	19960	20874	20411	20414
789	19965	20879	20414	20418
790	19970	20881	20418	20422
791	19973	20884	20423	20426
792	19977	20886	20427	20430
793	19981	20889	20431	20434
794	19984	20895	20434	20438
795	19989	20897	20438	20442
796	19992	20903	20441	20446
797	19995	20906	20445	20450
798	19999	20912	20448	20454
799	20003	20917	20452	20458
800	20006	20920	20457	20462
801	20012	20924	20462	20466
802	20015	20929	20465	20470
803	20022	20933	20469	20474
804	20029	20937	20473	20478
805	20032	20940	20476	20482
806	20038	20944	20480	20485
807	20042	20949	20484	20489
808	20047	20954	20488	20493
809	20050	20958	20491	20497
810	20053	20961	20495	20501
811	20055	20965	20500	20505
812	20058	20969	20504	20509
813	20063	20974	20508	20513
814	20067	20979	20512	20517
815	20071	20986	20516	20520
816	20074	20990	20520	20524
817	20076	20996	20524	20528
818	20081	21001	20528	20532
819	20085	21005	20533	20536
820	20089	21010	20537	20540
821	20093	21013	20541	20544
822	20098	21015	20544	20548
823	20102	21018	20548	20552
824	20105	21021	20551	20556
825	20111	21024	20556	20559
826	20114	21027	20560	20563
827	20118	21031	20565	20567
828	20122	21036	20569	20571
829	20125	21039	20574	20575
830	20128	21041	20577	20579
831	20132	21044	20581	20583
832	20136	21047	20585	20587
833	20140	21049	20589	20591
834	20145	21051	20593	20595
835	20149	21056	20597	20599
836	20152	21061	20600	20603
837	20155	21065	20605	20607
838	20159	21071	20609	20611
839	20162	21075	20613	20614
840	20165	21080	20617	20618
841	20169	21085	20621	20622
842	20173	21089	20624	20626
843	20180	21092	20627	20630
844	20183	21094	20632	20634
845	20188	21099	20635	20638
846	20194	21104	20639	20641
847	20201	21105	20644	20645
848	20207	21107	20647	20649
849	20210	21111	20651	20653
850	20213	21115	20656	20657
851	20216	21118	20660	20661
852	20221	21123	20663	20665
853	20225	21130	20667	20668
854	20228	21135	20669	20672
855	20231	21139	20672	20676
856	20233	21144	20675	20680
857	20237	21149	20679	20684
858	20239	21154	20684	20688
859	20243	21156	20687	20692
860	20248	21165	20691	20695
861	20254	21166	20695	20699
862	20257	21171	20699	20703
863	20264	21175	20702	20707
864	20267	21177	20706	20711
865	20269	21178	20710	20715
866	20274	21180	20714	20718
867	20281	21184	20718	20722
868	20285	21188	20722	20726
869	20287	21190	20725	20730
870	20290	21194	20728	20734
871	20296	21197	20732	20737
872	20300	21203	20735	20741
873	20305	21207	20738	20745
874	20308	21214	20743	20749
875	20311	21218	20746	20753
876	20314	21224	20749	20756
877	20316	21229	20754	20760
878	20317	21236	20758	20764
879	20320	21239	20761	20768
880	20323	21244	20765	20772
881	20328	21248	20768	20775
882	20335	21252	20772	20779
883	20342	21254	20775	20783
884	20348	21256	20780	20787
885	20352	21258	20784	20791
886	20356	21262	20788	20794
887	20361	21267	20791	20798
888	20362	21268	20794	20802
889	20366	21271	20798	20806
890	20369	21274	20802	20809
891	20375	21277	20805	20813
892	20378	21279	20810	20817
893	20384	21283	20814	20821
894	20388	21284	20817	20825
895	20390	21288	20822	20828
896	20395	21292	20826	20832
897	20397	21297	20831	20836
898	20399	21300	20836	20840
899	20402	21304	20840	20844
900	20405	21307	20843	20847
901	20411	21309	20847	20851
902	20420	21313	20851	20855
903	20424	21318	20854	20859
904	20430	21319	20858	20863
905	20435	21323	20862	20867
906	20442	21326	20865	20871
907	20443	21328	20869	20875
908	20447	21329	20874	20879
909	20454	21334	20878	20883
910	20460	21339	20883	20887
911	20463	21342	20887	20891
912	20468	21346	20890	20895
913	20472	21350	20893	20899
914	20474	21354	20896	20903
915	20477	21356	20900	20906
916	20480	21363	20904	20910
917	20484	21368	20907	20914
918	20486	21369	20912	20918
919	20489	21374	20916	20922
920	20492	21380	20921	20926
921	20500	21382	20924	20930
922	20507	21384	20928	20934
923	20511	21389	20932	20938
924	20512	21393	20936	20942
925	20515	21396	20940	20946
926	20521	21400	20944	20950
927	20526	21404	20948	20954
928	20530	21405	20953	20958
929	20534	21409	20957	20962
930	20541	21412	20962	20966
931	20547	21416	20966	20970
932	20550	21419	20971	20974
933	20553	21424	20975	20978
934	20554	21429	20979	20982
935	20555	21434	20983	20986
936	20558	21440	20986	20990
937	20561	21445	20990	20994
938	20564	21450	20995	20998
939	20569	21453	21000	21002
940	20573	21459	21004	21006
941	20580	21462	21008	21010
942	20589	21466	21012	21014
943	20594	21468	21015	21018
944	20599	21472	21019	21022
945	20601	21475	21023	21026
946	20608	21481	21027	21030
947	20611	21484	21031	21034
948	20616	21487	21035	21038
949	20619	21490	21039	21042
950	20621	21496	21042	21046
951	20624	21500	21046	21050
952	20629	21502	21050	21054
953	20632	21509	21054	21058
954	20637	21514	21058	21062
955	20641	21517	21062	21066
956	20645	21524	21066	21070
957	20650	21527	21070	21074
958	20655	21530	21073	21078
959	20660	21534	21077	21082
960	20663	21539	21082	21086
961	20667	21543	21086	21090
962	20673	21547	21090	21094
963	20679	21550	21094	21098
964	20686	21554	21098	21102
965	20693	21561	21103	21106
966	20696	21564	21106	21110
967	20701	21568	21110	21114
968	20706	21573	21114	21118
969	20713	21575	21118	21122
970	20718	21579	21122	21126
971	20722	21581	21125	21130
972	20725	21586	21129	21134
973	20729	21588	21134	21138
