;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
157;X23408.2006528618;23408,20065;-5,018;3,561011227;270,2;245,6613193;20,2;4,392680199;-31,02;5,805903598;3364,4;3778,578068
158;X23544.8565976672;23544,8566;-5,018;3,545944004;270,2;245,0273464;20,2;4,381870034;-31,02;5,868611607;3364,4;3773,045739
159;X23709.0550246349;23709,05502;-5,018;3,562545196;270,2;244,7415251;20,2;4,395784053;-31,02;5,874426381;3364,4;3771,569443
160;X23902.3247971418;23902,3248;-5,488;3,603551774;242;244,0603314;19,78;4,402493045;-31,34;5,91955014;3059,2;3768,286156
161;X24073.7570774338;24073,75708;-4,444;3,59881094;293,4;244,8714645;20,98;4,367709749;-31,84;6,014875376;3622,6;3772,608141
162;X24265.1601234924;24265,16012;-5,488;3,669505838;242;245,2510102;19,78;4,409237993;-31,34;6,157311995;3059,2;3778,756179
163;X24461.9465617515;24461,94656;-5,488;3,717903106;242;245,4418819;19,78;4,420300077;-31,34;6,249969154;3059,2;3781,20015
164;X24637.066449536;24637,06645;-5,488;3,66595107;242;244,5184821;19,78;4,468530058;-31,34;5,975176727;3059,2;3766,46806
165;X24815.0606119213;24815,06061;-4,444;3,612754927;293,4;244,4979949;20,98;4,423516878;-31,84;5,93198967;3622,6;3766,669852
166;X24989.0085247315;24989,00852;-5,488;4,113404886;242;245,1147508;19,78;4,586256271;-31,34;6,793608871;3059,2;3758,749355
167;X25169.7249659258;25169,72497;9,72;4,562093166;358,2;214,9509904;28,66;4,292000224;-5,72;6,829232924;2430,6;2390,121687
168;X25366.4014840846;25366,40148;10,254;3,804559492;342,8;214,1886305;29,24;4,055100482;-6,58;5,851925312;2430;2409,108813
169;X25586.4316571651;25586,43166;11,518;3,790738095;292;214,5182273;29,04;4,016111826;-4,74;5,831668657;1868;2411,46045
170;X25741.6870136583;25741,68701;13,96;3,625355836;260,8;214,8401135;30,68;3,940289789;-0,84;5,668014702;1409,2;2409,564452
171;X25917.115090869;25917,11509;14,79;3,460736947;256,6;214,8457515;30,9;3,853045869;0,42;5,284626908;1313,4;2408,344316
172;X26139.5182059634;26139,51821;14,79;3,504431658;256,6;215,3191516;30,9;3,85263545;0,42;5,359143785;1313,4;2412,024152
173;X26319.2234324882;26319,22343;14,79;3,30928574;256,6;215,0873001;30,9;3,790805353;0,42;5,094808342;1313,4;2407,328703
174;X26500.8426038829;26500,8426;15,002;3,312525566;276;215,3203924;31,44;3,794188569;0,84;5,092988066;1489,6;2407,546407
175;X26680.6621696534;26680,66217;15,002;3,298179465;276;216,3789048;31,44;3,813673596;0,84;5,054066127;1489,6;2409,820343
176;X26881.4195198084;26881,41952;10,676;5,010305578;328,4;214,3497532;29,62;4,446274013;-4,6;7,228224896;2284,2;2391,633146
177;X27078.989807407;27078,98981;-5,212;3,94376377;286,6;251,7754424;19,28;4,469124196;-30,44;6,376768404;3651,6;3804,493579
178;X27272.7788009274;27272,7788;-4,564;3,564527613;293,8;245,6625876;19,72;4,268213647;-30,5;5,927196489;3703,4;3781,096969
179;X27404.1734139027;27404,17341;-4,926;3,872497118;295,6;250,1322139;18,94;4,265297962;-29,52;6,62669094;3813,4;3819,838761
