;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
100;X34583.3631358228;34583,36314;-1,16;4,769620946;587,4;265,6726358;20,5;4,604918443;-20,26;6,986581978;7827,6;4229,867255
101;X34827.1197870677;34827,11979;5,754;4,642093458;615,2;283,1334849;21,44;5,488612809;-9,22;7,095705959;7298,4;4378,691531
102;X35073.4561606426;35073,45616;-0,672;4,246473952;595;262,0668652;20,3;4,516891053;-24,92;6,059156902;8111,2;4145,734603
103;X35377.0741475744;35377,07415;1,496;3,515285569;526,4;258,8838351;17,94;4,549549981;-26,24;6,070651214;7411,2;4121,843719
104;X35534.6557463429;35534,65575;-5,972;3,066735437;496,8;270,9262949;17,88;4,487665863;-26,06;6,114013853;6952,4;4141,461305
105;X35718.4868187239;35718,48682;-3,798;3,93606755;524,6;267,0272128;18,88;4,645764261;-24,92;6,142535404;7257;4162,335121
106;X36114.7193261654;36114,71933;4,488;3,817312865;538,4;296,0389413;19,38;4,650328394;-24,74;7,62395236;7373,6;4979,588531
107;X36313.3998673516;36313,39987;0,958;4,822148388;583,4;267,9710712;17,88;4,726308362;-17,84;7,13766096;7546;4071,447235
108;X36777.0775719642;36777,07757;3,844;4,402230572;514,8;292,0723689;17,88;4,791281412;-19,26;7,088117308;6689,6;4229,842598
109;X37164.3538266726;37164,35383;1,156;4,691423604;469;294,0936346;19,86;4,401369638;-25,82;6,930954049;6044;4382,950948
110;X37558.5685866639;37558,56859;1,578;3,26403839;458;268,6254298;19,04;4,631445679;-22,54;7,424367924;5377,8;3847,318422
111;X37754.2218978769;37754,2219;3,196;4,145298811;647;266,0380569;19,12;4,82554434;-15,72;7,258493287;9361;4313,941674
112;X38076.6913680846;38076,69137;1,072;3,888909898;496,8;274,9468071;17,88;4,522517612;-26,06;6,078617285;6952,4;4295,138361
113;X38469.657693511;38469,65769;2,462;3,159744457;542;274,6864222;19,34;4,816420248;-23,7;6,766364455;8302,2;4264,08788
114;X38853.232722924;38853,23272;-4,412;3,334480083;496,8;268,169614;17,88;4,46278514;-26,06;6,229796838;6952,4;4092,578961
115;X39113.899126709;39113,89913;8,028;3,543107183;608;254,419916;18,52;4,759678935;-14,5;7,317803977;7744,8;3905,625894
116;X39378.2965900067;39378,29659;-2,2;4,409556382;483;277,4847263;17,38;4,468199294;-26,24;6,169606318;6835,8;4262,622948
117;X39577.6525257864;39577,65253;4,48;4,379040847;663,6;309,4501679;17,56;4,932714728;-18;8,449591384;10508;4585,387587
118;X39974.0153681964;39974,01537;0,91;4,38575395;606,2;305,3047217;14,94;5,041289789;-23,82;8,244696487;11540;4395,290651
119;X40235.0223059321;40235,02231;2,192;4,372956375;362,8;262,4244812;13,3;4,85963094;-31,24;6,504190258;9250,4;4121,273963
120;X40562.7270883525;40562,72709;-5,974;4,847425557;479,4;269,2347457;16,24;4,73034101;-25,76;6,658682829;7709;4123,622584
121;X40757.743362895;40757,74336;-4,504;4,970869289;465,4;262,0291298;15,96;4,565556779;-21,86;8,343069177;6928,6;4051,15178
122;X40947.819516026;40947,81952;1,528;3,956912437;750;314,9020026;19,56;4,631739107;-17,06;7,612576857;9782,8;4678,499702
123;X41405.9654445015;41405,96544;1,488;4,708446708;606,2;313,6768423;14,94;5,11770992;-23,82;8,352626332;11540;4539,356279
124;X42037.6241790857;42037,62418;-0,334;4,503101033;530;269,6743285;17,88;5,169624515;-26,08;7,061392577;8859,6;4418,351751
125;X42343.8801195637;42343,88012;-2,678;3,652975797;496,8;274,1597227;17,88;4,535342984;-26,06;6,221365667;6952,4;4291,153779
126;X42497.0080898027;42497,00809;-2,138;2,962048517;538,4;265,3901845;19,38;5,064788138;-24,74;6,510424641;7373,6;4307,236054
127;X42752.2213735343;42752,22137;-3,798;4,238636832;538,4;271,9572612;19,38;4,708074566;-24,74;6,276965063;7373,6;4389,57037
