"";"Abies";"Acer campestre-type";"Alnus";"Apiaceae";"Artemisia";"Betula";"Campanulaceae";"Carpinus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fraxinus";"Hippophae rhamnoides";"Picea";"Pinus";"Plantaginaceae";"Poaceae";"Polygonum";"Populus";"Quercus";"Rosaceae";"Rubiaceae";"Salix";"Thalictrum";"Tilia";"Ulmus"
"Bjune_a304";0;0;0,024691358;0;0,049382716;5,160493827;0;0;0;0,024691358;0,12345679;1,061728395;0;0;0,024691358;3,654320988;0;1,481481481;0;0;0,024691358;0;0,024691358;0,222222222;0;0;0
"Bjune_a305";0;0;0,074766355;0;0,14953271;6,878504673;0;0;0;0;0,112149533;4,523364486;0;0;0,14953271;6,46728972;0;1,607476636;0;0;0,074766355;0;0;0,224299065;0,037383178;0;0
"Bjune_a306";0;0;0,061087355;0,061087355;0,12217471;9,285277947;0;0;0;0;0,061087355;4,031765425;0;0;0,183262065;10,81246182;0;6,475259621;0;0;0;0;0;0,36652413;0;0;0
"Bjune_a307";0,70323488;0;13,36146273;0,140646976;0,140646976;21,94092827;0;0;0;0;0,421940928;5,063291139;0;0;3,938115331;14,90857947;0;8,298171589;0;0;0;0;0,140646976;1,687763713;0,140646976;0,281293952;0,562587904
"Bjune_a308";0;0;1,167883212;0;0;24,96350365;0;0;0;0,145985401;0,583941606;3,649635036;0;0;2,189781022;48,46715328;0;3,649635036;0;0;0,729927007;0;0;0,145985401;0;0;0
"Bjune_a309";0;0;0,420757363;0;0,140252454;19,77559607;0;0;0;0,140252454;0,841514727;4,347826087;0;0;7,713884993;47,54558205;0;3,085553997;0;0;0,280504909;0;0,140252454;0;0,140252454;0;0,140252454
"Bjune_a310";0;0;2,52764613;0;0;18,95734597;0;0;0;0;0,789889415;6,63507109;0;0;2,685624013;38,70458136;0;3,791469194;0;0;0,157977883;0;0;0,631911532;0;0;0
"Bjune_a311";0;0;0;0;0,238948626;0,477897252;0;0;0,238948626;0;0;0,119474313;0;0;0;0,597371565;0;6,571087216;0;0;0;0;0;0,238948626;0,119474313;0;0
"Bjune_a312";0;0;1,904761905;0;0;2,380952381;0;0;1,428571429;0;0;0;0;0;0;1,904761905;0;25,23809524;0;0;0;0;0;1,428571429;0;0;0
"Bjune_a313";0;0;0,140449438;0;0,421348315;1,685393258;0;0;0;0,140449438;0,140449438;0,280898876;0;0;0;1,123595506;0;3,651685393;0;0;0;0;0;4,213483146;0,140449438;0;0
"Bjune_a314";0;0;0;0;0,217706821;0,725689405;0;0;0,03628447;0,03628447;0;0,03628447;0;0;0;0,326560232;0;0,979680697;0;0;0,03628447;0;0;1,451378809;0;0;0
"Bjune_a315";0;0;0;0;0,295857988;1,923076923;0;0;0,147928994;0;0;0;0;0;0;1,331360947;0;3,106508876;0;0;0;0;0;3,698224852;0;0;0
"Bjune_a316";0;0;3,428571429;0,571428571;1,142857143;5,714285714;0;0;0;1,142857143;0;3,428571429;0;0;0;10,28571429;0;14,85714286;0;0;0;0;0;10,28571429;0;0;0
"Bjune_a317";0;0;0,08583691;0;0,08583691;0,25751073;0;0;0;0,17167382;0;0,25751073;0;0;0;1,802575107;0;0,600858369;0;0;0;0;0;1,545064378;0;0;0
"Bjune_a318";0;0;0,157604413;0;0;0,315208826;0;0;0,472813239;0,157604413;0;0,078802206;0;0;0;0,394011032;0;1,733648542;0;0;0;0;0;1,024428684;0;0;0
"Bjune_a319";0;0;0,033715442;0;0,033715442;0,303438975;0;0;0,033715442;0;0;0;0;0;0;0,303438975;0;0,573162508;0;0;0;0;0;0,236008092;0;0;0
