;Abies;Alnus;Apiaceae;Armeria.type;Artemisia;Asteraceae;Betula;Boraginaceae;Botrychium;Brassicaceae;Calluna.vulgaris;Campanulaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Cedrus;Centaurea;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagaceae;Fagus;Filipendula;Hedera;Helianthemum;Hippophae.rhamnoides;Juniperus;Picea;Pinus;Plantago;Plantago.lanceolata.type;Poaceae;Polygonum;Quercus.robur.type;Quercus.ilex.type;Ranunculaceae;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Thalictrum;Ulmus;Urticaceae
Lopez_a413;0;0;0;0;0,026004728;0,007092199;0,002364066;0;0;0,007092199;0;0;0;0;0;0;0,033096927;0;0;0;0;0;0;0;0;0;0,026004728;0;0,328605201;0;0,122931442;0;0,002364066;0,158392435;0;0,01891253;0,234042553;0;0,004728132;0;0;0;0;0;0;0;0
Lopez_a414;0;0,004454343;0,004454343;0;0,002227171;0,004454343;0,006681514;0,002227171;0;0;0,008908686;0;0;0,011135857;0;0;0,0155902;0,002227171;0,008908686;0;0;0;0;0,024498886;0;0;0,028953229;0;0,004454343;0;0,325167038;0;0,008908686;0,046770601;0;0,443207127;0,004454343;0;0,017817372;0,004454343;0;0,002227171;0;0;0;0,002227171;0
Lopez_a415;0;0,002150538;0,004301075;0;0,006451613;0;0,004301075;0,002150538;0;0;0,002150538;0;0;0,004301075;0;0;0,008602151;0;0,012903226;0;0;0;0;0;0;0;0,002150538;0;0,008602151;0;0,866666667;0,002150538;0;0,023655914;0,002150538;0,027956989;0;0;0,010752688;0,002150538;0;0;0;0,004301075;0;0;0
Lopez_a416;0;0,002123142;0;0;0,004246285;0,012738854;0,002123142;0;0;0,002123142;0;0;0;0,002123142;0;0;0,006369427;0;0,008492569;0;0;0;0;0;0;0;0;0;0,010615711;0;0,823779193;0;0,004246285;0,06581741;0;0,029723992;0;0,004246285;0,012738854;0;0;0,002123142;0;0,002123142;0;0;0
Lopez_a417;0;0,004192872;0;0;0,004192872;0,01048218;0,002096436;0;0;0,002096436;0,004192872;0;0;0,004192872;0;0;0,008385744;0,002096436;0,004192872;0;0;0;0;0;0;0;0,004192872;0;0,01048218;0;0,849056604;0;0;0,060796646;0;0,014675052;0;0,002096436;0,004192872;0;0;0;0;0;0;0;0
Lopez_a418;0;0;0;0;0,002331002;0;0;0;0;0,011655012;0;0;0;0;0;0;0;0,002331002;0;0;0;0;0;0;0;0;0;0;0;0;0,911421911;0;0,004662005;0,025641026;0;0,018648019;0;0;0,018648019;0;0;0;0;0,004662005;0;0;0
Lopez_a419;0;0;0;0;0,000901713;0;0;0;0;0,003606853;0;0;0;0;0;0;0,000901713;0;0,004508566;0;0;0;0;0;0;0;0;0;0,093778179;0;0,835888188;0;0,006311993;0,020739405;0,010820559;0,00541028;0;0,00270514;0,012623986;0;0;0;0;0,001803427;0;0;0
Lopez_a420;0;0,009765625;0,013671875;0;0,013671875;0,01171875;0,044921875;0,0078125;0;0;0,005859375;0;0;0,005859375;0;0;0,015625;0,0078125;0,013671875;0;0;0;0;0,021484375;0;0;0,00390625;0;0,005859375;0;0,61328125;0,005859375;0,0234375;0,0234375;0,001953125;0,07421875;0,009765625;0;0,015625;0,009765625;0;0,0078125;0;0;0;0,005859375;0
Lopez_a421;0;0,007518797;0,003759398;0;0,011278195;0,009398496;0,02443609;0,001879699;0;0,001879699;0,011278195;0;0;0;0;0;0,007518797;0,011278195;0,054511278;0;0;0;0;0,016917293;0;0;0,005639098;0;0,001879699;0;0,706766917;0;0,005639098;0,028195489;0;0,031954887;0,015037594;0;0,020676692;0,001879699;0;0,003759398;0;0;0;0,001879699;0
Lopez_a422;0;0,011070111;0,014760148;0;0,016605166;0,016605166;0,046125461;0,003690037;0;0,001845018;0,005535055;0;0;0,005535055;0;0;0,016605166;0,009225092;0,020295203;0;0;0;0;0,02398524;0;0;0,014760148;0;0,003690037;0;0,588560886;0;0,027675277;0,038745387;0;0,081180812;0,011070111;0;0,016605166;0,003690037;0;0,005535055;0;0;0;0,003690037;0
Lopez_a423;0;0,005244755;0,019230769;0;0,019230769;0,012237762;0,057692308;0,003496503;0;0;0,005244755;0;0;0,006993007;0;0;0,017482517;0,01048951;0,036713287;0;0;0;0;0,026223776;0;0;0,005244755;0;0,003496503;0;0,578671329;0;0,036713287;0,033216783;0;0,068181818;0,012237762;0;0,015734266;0,003496503;0;0,005244755;0;0;0;0,003496503;0
Lopez_a424;0;0,003676471;0,016544118;0;0,020220588;0,001838235;0,023897059;0;0;0;0,007352941;0;0;0,003676471;0;0;0,007352941;0,003676471;0,040441176;0;0;0;0;0,003676471;0;0;0,007352941;0;0,009191176;0;0,737132353;0;0,003676471;0,040441176;0;0,040441176;0;0;0,020220588;0,001838235;0;0,001838235;0;0;0;0,001838235;0
Lopez_a425;0;0,005607477;0,005607477;0;0,024299065;0,003738318;0,028037383;0,003738318;0;0;0,003738318;0;0;0,005607477;0;0;0,011214953;0,005607477;0,057943925;0;0;0;0;0,005607477;0;0;0,001869159;0;0,011214953;0;0,710280374;0,001869159;0,003738318;0,044859813;0;0,035514019;0,001869159;0;0,013084112;0,003738318;0;0;0;0;0;0,003738318;0
Lopez_a426;0;0,008097166;0,002024291;0;0,028340081;0,004048583;0,018218623;0;0;0,004048583;0;0;0;0,004048583;0;0;0,01417004;0,004048583;0,042510121;0;0;0;0;0,002024291;0;0;0,004048583;0;0,008097166;0;0,746963563;0;0;0,068825911;0;0,022267206;0;0;0,008097166;0,004048583;0;0;0;0;0;0,002024291;0
Lopez_a427;0;0,002123142;0,006369427;0;0,038216561;0,002123142;0,004246285;0;0;0,004246285;0;0;0;0,004246285;0;0;0,023354565;0;0,074309979;0;0;0;0;0;0;0;0,008492569;0;0,014861996;0;0,622080679;0;0;0,167728238;0;0,012738854;0;0;0,004246285;0,002123142;0;0;0;0;0;0;0
