"","Longitude","Latitude","V3"
"484",3,47,"Barboni_a375"
"485",33.81666667,37.5,"Barboni_a376"
"486",-4.016667,43.117886,"Barboni_a377"
"487",0.55,40.76,"Barboni_a378"
"488",-6.233333,41.966667,"Barboni_a379"
"489",27.831944,43.187222,"Barboni_a380"
"490",29.95,36.58333333,"Barboni_a381"
"491",-4.868889,36.967222,"Barboni_a382"
"492",-5.067222,36.818889,"Barboni_a383"
"493",-5.35,36.517222,"Barboni_a384"
"494",-5.368889,36.467222,"Barboni_a385"
"495",-5.417222,36.318889,"Barboni_a386"
"496",-3.617222,37.018889,"Barboni_a387"
"497",-3.517222,36.917222,"Barboni_a388"
"498",-3.35,36.95,"Barboni_a389"
"499",-3.35,36.918889,"Barboni_a390"
"500",-3.268889,36.95,"Barboni_a391"
"501",-3.218889,36.95,"Barboni_a392"
"502",-3.017222,37.018889,"Barboni_a393"
"503",-3.017222,37.1,"Barboni_a394"
"504",-3.018889,37.117222,"Barboni_a395"
"505",-3.05,37.15,"Barboni_a396"
"506",-2.917222,37.167222,"Barboni_a397"
"507",-3.117222,37.168889,"Barboni_a398"
"508",-6.15,37.618889,"Barboni_a399"
"509",-6.368889,37.767222,"Barboni_a400"
"510",-6.618889,37.917222,"Barboni_a401"
"511",-6.718889,38.018889,"Barboni_a402"
"512",-3.317222,42.368889,"Barboni_a403"
"513",-3.867222,42.618889,"Barboni_a404"
"514",-4.818889,43.317222,"Barboni_a405"
"515",-4.917222,43.318889,"Barboni_a406"
"516",-5.017222,43.35,"Barboni_a407"
"517",-4.968889,43.267222,"Barboni_a408"
"518",-5.05,43.3,"Barboni_a409"
"519",-5.05,43.3,"Barboni_a410"
"520",-4.918889,43.418889,"Barboni_a411"
"521",-4.968889,43.417222,"Barboni_a412"
"522",-5,43.4,"Barboni_a413"
"523",-5.018889,43.368889,"Barboni_a414"
"524",-3.65,39.1,"Barboni_a415"
"525",-4.8,43.15,"Barboni_a416"
"526",-4.817222,43.15,"Barboni_a417"
"527",-4.817222,43.118889,"Barboni_a418"
"528",-4.767222,43.117222,"Barboni_a419"
"529",-4.718889,43.118889,"Barboni_a420"
"530",-4.668889,43.167222,"Barboni_a421"
"531",-4.767222,43.067222,"Barboni_a422"
"532",-4.75,43.068889,"Barboni_a423"
"533",-4.85,43.068889,"Barboni_a424"
"534",-4.867222,43.117222,"Barboni_a425"
"535",-4.7,43.1,"Barboni_a426"
"536",-4.668889,43.1,"Barboni_a427"
