"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"13.788";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13.875";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.093";0;0,1053;0,3158;0,0526;0,0351;0;0;0;0;0;0;0;0,4737;0,0175;0;0;0;0;0;0
"14.137";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.158";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.311";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.398";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.529";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.66";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.747";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14.965";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15.096";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15.183";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15.401";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15.532";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15.968";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16.448";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16.536";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16.688";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16.71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16.754";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17.277";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17.539";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18.149";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18.586";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19.022";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19.349";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19.72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19.85";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19.894";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19.938";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.003";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.069";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.156";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.243";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.287";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.352";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.417";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.439";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.526";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.592";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.657";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.854";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20.941";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21.333";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21.399";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21.551";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21.988";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.206";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.337";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.424";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.511";0;0,0446;0,3393;0,1696;0,0089;0;0;0,0089;0;0,0089;0;0;0,375;0,0089;0,0179;0;0;0;0;0
"22.598";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.664";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.773";0;0,0559;0,3217;0,1538;0,028;0;0;0;0;0;0;0;0,3566;0,014;0;0,014;0,021;0;0;0,007
"22.814";0;0,0536;0,625;0,0357;0;0;0;0;0;0;0;0;0,2679;0;0,0179;0;0;0;0;0
"22.86";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.901";0;0;0,2154;0,0769;0,0308;0;0;0,0154;0;0;0;0;0,5846;0;0;0;0;0;0;0
"22.947";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22.989";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.034";0;0,0403;0,2177;0,121;0,0323;0;0,0081;0;0;0,0081;0;0;0,4677;0,0242;0,0242;0;0;0;0;0
"23.076";0;0;0,2581;0,129;0,0484;0;0;0;0;0;0;0;0,5645;0;0;0;0;0;0;0
"23.122";0;0,0609;0,4348;0,1043;0,0174;0;0;0;0;0;0;0;0,3217;0,0087;0,0174;0;0;0;0;0,0348
"23.207";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.294";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.338";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.383";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.425";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.492";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.556";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.645";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.687";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.732";0;0,0943;0,3585;0,1321;0;0;0;0,0189;0;0;0;0;0,3774;0,0189;0;0;0;0;0;0
"23.774";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.817";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.861";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.907";0;0,0364;0,3818;0,1818;0,0364;0;0;0;0;0;0;0;0,3091;0;0;0;0,0182;0;0;0,0182
"23.948";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.994";0;0,0893;0,6071;0,0357;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0
"24.081";0;0,0385;0,3462;0,0577;0,0385;0;0;0,0192;0;0;0;0;0,3846;0,0385;0;0;0;0;0;0,0577
"24.169";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24.21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24.256";0;0;0,3333;0,2037;0;0;0;0;0;0;0;0;0,4259;0;0;0;0;0,0185;0;0
"24.297";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24.343";0;0,0175;0,3684;0,1228;0,0351;0;0;0;0;0,0175;0;0;0,3158;0,0351;0;0;0;0;0;0
"24.384";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
