-: limite inf‚rieure
+: limite sup‚rieure
Temp en 1/10 degres
Prec en mm
anomalies
    TJAN-TJAN TJAN+TJUL-TJUL TJUL+TANN-TANN TANN+PJAN-PJAN PJAN+PJUL-PJUL PJUL+PANN-PANN PANN+
1440 -170  -78  -27  -80  -39   -8 -115  -64  -18  -40  -38  -33  -36  -11   -1 -660 -492 -417
1443  -31  -25   -7  -11    2   10  -18  -10    1  -43  -41  -39   -7   -2    3 -457 -424 -350
1445  -28  -25  -21   -3    6    9  -11   -8   -6  -40  -39  -39   -4   -2   -1 -446 -433 -429
1448  -54  -26  -22  -11    5    8  -30  -10   -7  -44  -40  -39   -2    0   13 -487 -440 -432
1450  -50  -32  -25  -11    2   10  -23  -14   -4  -45  -42  -40   -6   -3    1 -496 -454 -415
1453  -67  -36  -16  -28  -13    5  -52  -26  -10  -40  -29    5   -2   10   20 -412 -313    9
1455  -52  -29  -14  -19   -4    6  -38  -17   -7  -39  -36  -29   -9    1   12 -450 -399 -325
1458  -69  -39  -19  -28  -15    1  -52  -29  -13  -40  -31    5   -1   10   19 -412 -328    9
1460  -62  -39   -5  -31  -21   -7  -52  -32  -16  -38  -25   29   -7   11   21 -388 -282  137
1463  -49  -33  -23  -22   -5    7  -37  -19   -8  -40  -35  -23   -1    4   12 -441 -378 -279
1465  -49  -30  -23  -14    1    8  -34  -15   -8  -39  -37  -28   -1    1    8 -436 -407 -333
1468  -64  -30  -24  -17    2   15  -33  -13   -2  -39  -34    8   -5    2   21 -424 -374 -135
1470  -44  -29  -20  -12    2    8  -30  -13   -8  -41  -38  -34   -6    0    8 -453 -417 -370
1473  -69  -30  -10  -27  -13    5  -45  -23   -7  -39  -27    8   -9    6   20 -423 -314   -4
1475  -67  -33   -7  -29  -23  -12  -52  -31  -17  -37  -19   12   -2   12   20 -379 -246  -25
1478  -59  -31    7  -39  -25  -13  -47  -30  -13  -36  -16   40  -21    9   22 -409 -242  179
1480  -34  -27  -21  -24  -13    5  -26  -20   -5  -41  -19    2    1   14   25 -386 -234    9
1483  -48  -22   -6  -25  -16   -6  -36  -21  -10  -35  -19    8  -20    8   20 -465 -254  -50
1485  -58  -24   -9  -24  -16    2  -35  -21   -9  -35  -16   10    0   13   23 -359 -214    0
1488  -35   -9   34  -45  -27  -13  -33  -20   -5  -15   16   73    8   20   32 -244    5  364
1490  -52  -23   -5  -29  -22   -6  -37  -24  -15  -41   -4   21    5   19   24 -373 -122   55
1493  -35    7   39  -41  -32  -23  -30  -14    4  -14   14   36    9   16   23 -171  -63  118
1495  -67  -14   38  -35  -19    7  -58  -18    2  -44  -17   16  -11    4   10 -492 -318 -108
1498 -123  -61  -28  -39  -25  -16  -91  -49  -27  -52  -45  -37  -39  -10    0 -567 -514 -432
1500 -141 -123  -96  -79  -45  -32 -122  -93  -75  -54  -51  -45   -5   -1    3 -588 -564 -538
1515 -134  -91  -50  -75  -36   -5  -66  -45  -16  -61  -46   -6  -11   -6   29 -594 -467  -43
1518  -77  -40  -28  -27  -13    2  -47  -21   -9  -42  -25   29  -27   -8   12 -470 -335    0
1520  -37  -26  -20    5    7   11  -22  -10   -6  -39  -37   -9   -5   -1    0 -437 -419 -214
