Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
90464;0;40;192;205;64;0;10;0;133;153;155;0;0;18;0;0;30
90643;0;39;142;184;86;0;6;9;139;119;214;0;0;20;3;0;39
90913;0;18;196;303;90;0;11;4;71;86;157;4;11;7;7;0;35
91092;4;17;184;213;61;0;9;0;180;138;125;0;0;28;4;0;36
91362;0;20;70;314;105;0;14;3;155;93;181;0;0;17;6;0;22
91542;0;19;72;254;123;0;28;3;140;67;246;0;0;11;3;0;33
91811;0;27;58;285;152;0;23;0;164;53;176;0;0;11;0;2;49
91992;0;18;41;374;123;0;20;8;197;62;128;0;3;18;0;0;8
92262;0;13;66;316;170;0;27;2;128;51;183;3;2;25;2;0;12
92442;1;11;52;310;128;1;28;0;204;83;135;0;2;25;4;0;14
92713;0;4;65;197;279;0;13;0;54;69;255;2;0;45;2;0;15
92894;5;13;130;28;267;0;21;0;80;192;224;0;5;13;3;0;18
93165;0;0;139;0;287;0;16;0;81;290;155;6;0;10;0;0;16
93346;0;8;148;6;83;0;8;2;39;547;112;4;2;6;2;0;33
93618;0;3;240;3;6;0;0;19;48;594;29;0;0;0;9;0;48
93799;0;0;187;0;0;0;0;24;30;707;3;0;0;0;12;0;37
95161;0;11;267;3;8;11;0;19;45;414;19;3;0;8;53;11;128
95434;0;10;257;5;8;0;5;3;168;420;45;3;0;0;8;0;67
95617;6;22;211;53;19;0;0;0;95;428;82;3;0;6;6;3;66
95890;3;25;166;207;111;0;13;0;137;83;178;0;6;13;0;0;57
96073;0;17;107;227;122;3;22;1;176;112;162;0;0;17;0;0;32
96347;0;0;339;4;19;0;4;4;26;495;34;0;0;4;8;0;61
96530;0;23;218;21;145;0;12;18;70;286;157;0;2;23;7;0;16
96804;6;9;173;0;68;0;3;0;73;468;123;0;0;20;6;0;50
96987;8;2;269;2;0;0;6;6;55;557;24;2;0;11;2;0;55
97262;0;15;406;0;0;0;4;11;45;366;13;8;0;0;6;0;124
97445;42;8;325;3;0;0;0;5;59;389;14;14;0;3;12;0;126
97721;20;14;358;0;6;0;0;109;43;288;6;0;0;0;14;0;143
97904;8;8;393;5;3;0;3;99;51;253;5;5;0;5;25;0;135
98180;2;15;484;0;0;0;0;259;21;73;0;4;0;0;23;0;119
98364;4;8;385;0;0;0;0;431;16;24;0;2;0;0;16;2;112
98640;0;26;194;4;4;0;0;345;34;71;0;10;0;2;38;2;270
98824;28;50;175;5;0;0;0;47;28;111;0;55;0;0;106;14;382
99101;7;19;128;1;8;0;0;139;46;86;3;23;0;0;68;12;460
99285;11;14;196;3;0;0;0;158;38;158;3;20;0;0;71;14;314
99562;0;6;154;0;0;0;0;44;74;596;0;0;0;6;6;0;114
99746;0;3;136;0;0;0;0;24;72;640;5;0;0;5;16;3;97
100024;6;12;208;0;3;0;0;27;149;480;9;3;0;9;3;0;89
100209;23;8;121;0;11;0;0;0;288;485;11;6;0;3;8;6;29
100672;2;17;191;7;5;0;0;12;248;471;15;0;0;0;2;0;27
101135;7;7;163;7;7;0;0;7;159;555;22;4;0;4;0;4;52
101599;2;2;78;2;0;0;0;7;239;598;11;2;0;0;2;0;57
102064;118;3;142;9;0;0;0;9;182;446;11;6;0;3;6;0;64
102530;4;17;176;13;0;0;0;9;353;345;27;4;0;4;0;4;44
102809;110;35;147;49;7;0;5;2;339;221;37;2;0;2;0;0;42
102902;140;74;107;77;5;0;0;13;297;156;33;3;0;0;3;3;88
102996;163;69;95;77;11;0;0;7;292;182;48;4;0;4;11;0;36
103276;213;129;37;208;26;0;14;3;192;52;88;0;0;8;2;2;26
103369;203;158;37;262;7;0;9;0;137;52;108;0;0;7;2;0;17
103462;197;165;39;217;8;0;14;0;173;33;90;3;0;19;0;0;41
103930;292;146;25;230;14;0;5;0;143;28;84;3;0;8;0;0;20
