;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH;;
16,754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17,277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17,539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18,149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18,586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19,022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19,349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19,894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19,938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20,941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21,333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21,399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21,551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21,988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,511;5,306092155;13,07793524;12,45343544;11,71246016;13,70243504;11,71246016;13,70243504;7,03086781;5,78186821;11,38885468;1,135781669;1,135781669;0;0;0;0;;
22,598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,773;6,769932287;14,65364563;12,68985694;12,39754279;14,65364563;12,39754279;14,65364563;7,59139919;5,627610505;12,69951912;1,264911064;1,264911064;0;0;0;0,948683298;;
22,814;1,752141547;11,83069019;11,83069019;9,626149421;11,83069019;9,626149421;11,83069019;7,874007874;7,874007874;6,879519044;1,135781669;1,135781669;0;0;0;0;;
22,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,901;4,287655376;8,874593352;7,268355512;8,874593352;8,874593352;8,874593352;8,874593352;6,193175817;4,586937976;11,9008019;0;0;0;0;0;0;;
22,947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22,989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,034;6,443789083;12,93455953;11,28228837;12,16928298;14,0481124;12,16928298;14,0481124;7,37776506;4,611941023;13,24599461;1,385640646;1,385640646;0;0;0;0;;
23,076;5,604630038;10,63553453;8,552267864;10,63553453;10,63553453;10,63553453;10,63553453;7,114171157;5,030904491;13,0846033;0;0;0;0;0;0;;
23,122;6,599287027;15,51951847;12,67969795;13,15520039;15,51951847;13,15520039;15,51951847;9,395733884;6,555913361;12,22689753;1,113552873;1,113552873;0;0;0;0;;
23,207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,732;4,744091306;13,67798846;13,67798846;10,6896779;13,67798846;10,6896779;13,67798846;5,945586598;5,945586598;10,84654983;0;0;0;0;0;0;;
23,774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23,861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
