;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE
28775,32181;3,472806714;5,77434999;6,457126362;6,457126362;6,457126362;7,139902735;7,139902735;3,667096021;2,984319648;9,244844926;30,23337141;15,66167996;0;0;;3%;6%;6%;6%;6%;7%;7%;4%;3%;9%;29%;15%;0%;0%
29184,62377;5,251287768;9,595264775;8,502142982;9,595264775;10,9218721;9,595264775;10,9218721;5,4370988;3,017369678;11,17524087;13,1159242;16,38818945;1,842275175;1,842275175;;4%;8%;7%;8%;9%;8%;9%;5%;3%;10%;11%;14%;2%;2%
29386,14602;3,128588475;6,322267932;6,322267932;7,1793373;7,1793373;8,722275548;8,722275548;5,593687073;3,193679458;8,822603815;29,93203511;15,64592619;1,07055618;1,07055618;;3%;6%;6%;6%;6%;8%;8%;5%;3%;8%;27%;14%;1%;1%
29726,36593;4,000199536;7,564964209;7,053481097;7,924033586;7,924033586;8,283102963;8,283102963;5,512525292;3,92383405;10,35476507;29,80623832;15,52732196;1,741104977;1,741104977;;3%;6%;6%;7%;7%;7%;7%;5%;3%;9%;25%;13%;1%;1%
30162,41476;4,431812295;7,615881684;7,794529084;7,794529084;7,794529084;7,973176484;7,973176484;3,72001159;3,362716789;10,9575388;10,31751431;10,31751431;0,1786474;0,1786474;;5%;8%;9%;9%;9%;9%;9%;4%;4%;12%;11%;11%;0%;0%
30515,21333;3,409854854;6,617130091;5,642822459;6,143170513;6,617130091;7,117478146;7,591437723;4,681930924;2,733315659;9,740708679;11,1872629;16,1886841;1,44826721;1,44826721;;4%;7%;6%;7%;7%;8%;8%;5%;3%;11%;12%;18%;2%;2%
31008,75005;5,629705068;8,477687406;7,84452005;8,477687406;9,110854762;8,477687406;9,110854762;4,114317051;2,847982338;11,59091602;13,58241205;18,20452704;1,140965294;1,140965294;;5%;8%;7%;8%;8%;8%;8%;4%;3%;11%;12%;17%;1%;1%
31218,56793;3,403018794;6,151416741;6,565108582;6,565108582;6,565108582;6,565108582;6,565108582;3,162089788;3,162089788;10,1214698;11,83528149;15,41106312;0,413691841;0,413691841;;4%;7%;8%;8%;8%;8%;8%;4%;4%;12%;14%;18%;0%;0%
31423,81316;4,0571233;7,581135259;7,289942747;8,257107003;8,257107003;8,257107003;8,257107003;5,167147959;4,199983703;10,20346465;29,7034895;15,87695447;0;0;;3%;6%;6%;7%;7%;7%;7%;4%;4%;9%;25%;14%;0%;0%
31823,12414;3,317208162;7,090382171;7,671552692;7,833774113;7,833774113;7,833774113;7,833774113;4,678787372;4,516565951;9,602110707;12,46156033;17,30256912;0,162221421;0,162221421;;3%;7%;8%;8%;8%;8%;8%;5%;5%;10%;13%;18%;0%;0%
31923,85023;3,839210844;8,055353876;8,926342217;8,490848046;8,490848046;8,490848046;8,490848046;4,651637203;4,651637203;9,549153775;32,99789579;11,5541773;1,373209663;1,373209663;;3%;7%;7%;7%;7%;7%;7%;4%;4%;8%;27%;10%;1%;1%
32213,57722;4,164307433;8,629553041;8,030913668;9,732611606;9,732611606;9,732611606;9,732611606;6,072723365;4,9696648;10,05439513;11,49249968;17,56522305;1,486081567;1,486081567;;4%;8%;7%;9%;9%;9%;9%;5%;4%;9%;10%;16%;1%;1%
32413,82938;3,232632186;9,267785616;9,918229252;9,918229252;9,918229252;9,918229252;9,918229252;6,685597066;6,685597066;8,357983956;8,746391836;8,746391836;0,990126746;0,990126746;;3%;9%;10%;10%;10%;10%;10%;6%;6%;8%;8%;8%;1%;1%
32650,7657;3,309143311;7,70921458;8,89135001;8,152908294;8,152908294;8,152908294;8,152908294;4,843764983;4,843764983;9,345184887;34,00871302;12,16828681;0,887387427;0,887387427;;3%;6%;7%;7%;7%;7%;7%;4%;4%;8%;28%;10%;1%;1%
32844,02421;2,488262409;6,562617787;6,562617787;6,562617787;6,562617787;6,562617787;6,562617787;4,074355378;4,074355378;8,695794708;24,12137983;14,52341568;0,493451541;0,493451541;;3%;7%;7%;7%;7%;7%;7%;4%;4%;9%;25%;15%;1%;1%
32961,02405;4,072049181;7,640920446;7,803141867;7,640920446;7,803141867;7,803141867;7,965363288;3,893314107;3,568871265;10,14398636;9,636673309;9,636673309;1,944337276;1,944337276;;4%;8%;9%;8%;9%;9%;9%;4%;4%;11%;11%;11%;2%;2%
