Longitude;Latitude;SampleName
-0.284861;41.404583;Barboni_a1311
-0.304614;41.37816;Barboni_a1312
-3.966667;42.616667;Barboni_a1313
-7.02;43.22;Barboni_a1314
12.37;63.17;Barboni_a1315
12.36;63.17;Barboni_a1316
12.36;63.17;Barboni_a1317
12.36;63.17;Barboni_a1318
12.36;63.18;Barboni_a1319
2.7;45.41;Barboni_a132
12.35;63.18;Barboni_a1320
12.37;63.17;Barboni_a1321
12.37;63.17;Barboni_a1322
12.37;63.17;Barboni_a1323
12.37;63.17;Barboni_a1324
12.37;63.17;Barboni_a1325
12.36;63.17;Barboni_a1326
12.36;63.17;Barboni_a1327
12.36;63.17;Barboni_a1328
12.37;63.15;Barboni_a1329
2.7;45.41;Barboni_a133
12.38;63.15;Barboni_a1330
12.4;63.15;Barboni_a1331
12.4;63.15;Barboni_a1332
12.4;63.15;Barboni_a1333
12.4;63.15;Barboni_a1334
12.4;63.17;Barboni_a1335
12.4;63.17;Barboni_a1336
12.4;63.17;Barboni_a1337
12.4;63.17;Barboni_a1338
12.4;63.17;Barboni_a1339
2.7;45.41;Barboni_a134
12.37;63.15;Barboni_a1340
12.42;63.17;Barboni_a1341
12.42;63.17;Barboni_a1342
12.37;63.15;Barboni_a1343
12.38;63.15;Barboni_a1344
12.38;63.15;Barboni_a1345
12.38;63.15;Barboni_a1346
12.38;63.15;Barboni_a1347
12.38;63.15;Barboni_a1348
12.35;63.18;Barboni_a1349
2.7;45.41;Barboni_a135
12.35;63.18;Barboni_a1350
-3.58527;57.041458;Barboni_a1351
-3.34412;57.115363;Barboni_a1352
-3.408444;57.11588;Barboni_a1353
-8.733333;41.833333;Barboni_a1354
-8.733333;41.833333;Barboni_a1355
-5;33.05;Barboni_a1356
-4.991067;43.272313;Barboni_a1357
-7.5545;43.251;Barboni_a1358
-1.770126;38.720734;Barboni_a1359
2.7;45.41;Barboni_a136
-9.002989;39.677278;Barboni_a1360
-1.499444;40.967917;Barboni_a1361
-4.4833;42.56101;Barboni_a1362
-9.046396;43.186313;Barboni_a1363
-6.238624;40.681601;Barboni_a1364
-2.5;38.3833;Barboni_a1365
-6.7545;42.454;Barboni_a1366
-7.478333;43.159028;Barboni_a1367
-6.1353;42.01101;Barboni_a1368
-2.840637;39.421603;Barboni_a1369
2.7;45.41;Barboni_a137
-3.2833;39.4166;Barboni_a1370
-2.8666;39.4166;Barboni_a1371
-1.9166;40.05;Barboni_a1372
-4.81101;37.348;Barboni_a1373
-4.302474;37.10874;Barboni_a1374
-1.608444;40.726724;Barboni_a1375
-0.1666;41.333;Barboni_a1376
-1.419874;38.789149;Barboni_a1377
-0.178735;41.797139;Barboni_a1378
-7.554778;43.241102;Barboni_a1379
2.68;45.43;Barboni_a138
-2.847182;41.99892;Barboni_a1380
-2.847182;41.99892;Barboni_a1381
-2.554722;41.185833;Barboni_a1382
-4.151667;42.980278;Barboni_a1383
-3.342179;37.051733;Barboni_a1384
-3.3671;37.05;Barboni_a1385
-2.819264;37.953667;Barboni_a1386
-2.860114;41.994588;Barboni_a1387
-2.5166;38.5;Barboni_a1388
-3.301266;39.69233;Barboni_a1389
2.68;45.43;Barboni_a139
-8.744167;43.125;Barboni_a1390
-6.793611;42.135556;Barboni_a1391
-3.336973;39.45088;Barboni_a1392
-6.8868;43.3335;Barboni_a1393
-3.33248;39.464019;Barboni_a1394
-0.189987;41.061043;Barboni_a1395
-0.182279;41.239561;Barboni_a1396
-0.141378;41.236204;Barboni_a1397
-0.219401;41.043063;Barboni_a1398
-6.691806;42.109861;Barboni_a1399
24.3333;41.983;Barboni_a14
2.68;45.43;Barboni_a140
-8.991389;39.693194;Barboni_a1400
-3.329306;37.054583;Barboni_a1401
-8.2333;37.9833;Barboni_a1402
-6.7848;42.1343;Barboni_a1403
-6.852778;42.863889;Barboni_a1404
34.38;39.2;Barboni_a1405
34.93;38.63;Barboni_a1406
35.029;38.59;Barboni_a1407
35.79;39.029;Barboni_a1408
35.83;39.069;Barboni_a1409
2.66;45.38;Barboni_a141
35.38;38.279;Barboni_a1410
36.47;39.4;Barboni_a1411
37.61;39.88;Barboni_a1412
36.529;39.95;Barboni_a1413
36.529;39.95;Barboni_a1414
36.5;40.02;Barboni_a1415
36.15;40.27;Barboni_a1416
36.09;40.419;Barboni_a1417
36.15;40.479;Barboni_a1418
36.159;40.529;Barboni_a1419
2.66;45.38;Barboni_a142
36.02;40.9;Barboni_a1420
35.72;40.979;Barboni_a1421
36.13;41.169;Barboni_a1422
36.209;41.38;Barboni_a1423
35.25;41.729;Barboni_a1424
35.18;41.819;Barboni_a1425
35.029;41.81;Barboni_a1426
34.849;41.63;Barboni_a1427
34.279;41.569;Barboni_a1428
33.319;41.369;Barboni_a1429
2.66;45.38;Barboni_a143
33.669;41.25;Barboni_a1430
33.22;41.15;Barboni_a1431
32.869;41.2;Barboni_a1432
32.72;41.229;Barboni_a1433
32.63;41.18;Barboni_a1434
32.009;40.779;Barboni_a1435
31.62;40.849;Barboni_a1436
31.1;40.779;Barboni_a1437
30.44;40.869;Barboni_a1438
30.569;41.029;Barboni_a1439
2.66;45.38;Barboni_a144
31.25;40.58;Barboni_a1440
31.299;40.61;Barboni_a1441
31.309;40.61;Barboni_a1442
24.12;35.6;Barboni_a1443
-5.35;32.9;Barboni_a1444
-7.43;43.4;Barboni_a1445
-7.62;43.55;Barboni_a1446
-7.45;43.42;Barboni_a1447
-7.527639;43.372639;Barboni_a1448
-7.55;43.53;Barboni_a1449
2.66;45.38;Barboni_a145
-7.55;43.53;Barboni_a1450
0.18167;40.1653;Barboni_a1451
-6.2;42.67;Barboni_a1452
35.8275;39.03333333;Barboni_a1453
-6.666666667;37.21666667;Barboni_a1454
-7.57;43.42;Barboni_a1455
-0.109444;41.380972;Barboni_a1456
-0.116528;41.381111;Barboni_a1457
14.21666667;45.65;Barboni_a1458
13.7833;45.1833;Barboni_a1459
2.66;45.38;Barboni_a146
15.8833;46.25;Barboni_a1460
14.4333;45.75;Barboni_a1461
14.8666;45.45;Barboni_a1462
14.6833;45.5166;Barboni_a1463
14.5833;45.8666;Barboni_a1464
14.2;45.65;Barboni_a1465
2.66;45.38;Barboni_a147
2.66;45.38;Barboni_a148
2.66;45.38;Barboni_a149
